session_id,timestamp,round,player,hand_index,dealer_name,hand_cards_before,hand_total_before,is_soft,dealer_upcard,visible_cards,cards_remaining,decks_in_play,valid_actions,action_taken,basic_strategy_action,drinking_mode,mode,bet_amount,wager,is_npc,hand_result
Heart54,1782584365.9802246,1,David,1,Rob,Q♥ 4♦,14,False,4♥,2♥ 9♦ 4♣ 2♠ Q♥ 4♦ J♠ 2♦ 4♥,42,1,"h,s,d",s,s,True,digital,,1,False,loss
Heart54,1782584366.8677535,1,David,2,Rob,J♠ 2♦,12,False,4♥,2♥ 9♦ 4♣ 2♠ Q♥ 4♦ J♠ 2♦ 4♥,42,1,"h,s,d",s,s,True,digital,,1,False,loss
Heart54,1782584375.3471358,1,Rob,1,Rob,2♥ 9♦,11,False,4♥,2♥ 9♦ 4♣ 2♠ Q♥ 4♦ J♠ 2♦ 4♥,42,1,"h,s,d",d,d,True,digital,,1,False,loss
Heart54,1782584377.0164192,1,Rob,2,Rob,4♣ 2♠,6,False,4♥,2♥ 9♦ 3♦ 4♣ 2♠ Q♥ 4♦ J♠ 2♦ 4♥,41,1,"h,s,d",h,h,True,digital,,1,False,loss
Heart54,1782584377.9346836,1,Rob,2,Rob,4♣ 2♠ 6♦,12,False,4♥,2♥ 9♦ 3♦ 4♣ 2♠ 6♦ Q♥ 4♦ J♠ 2♦ 4♥,40,1,"h,s",h,s,True,digital,,1,False,loss
Heart54,1782584399.6381595,1,Rob,2,Rob,4♣ 2♠ 6♦ 5♣,17,False,4♥,2♥ 9♦ 3♦ 4♣ 2♠ 6♦ 5♣ Q♥ 4♦ J♠ 2♦ 4♥,39,1,"h,s",s,s,True,digital,,1,False,loss
Heart54,1782584477.1127477,2,Rob,1,David,3♥ J♦,13,False,4♠,3♥ J♦ 8♠ J♣ K♠ A♠ 8♣ 7♥ 4♠,42,1,"h,s,d",h,s,True,digital,,1,False,win
Heart54,1782584479.7617018,2,Rob,1,David,3♥ J♦ 4♥,17,False,4♠,3♥ J♦ 4♥ 8♠ J♣ K♠ A♠ 8♣ 7♥ 4♠,41,1,"h,s",s,s,True,digital,,1,False,win
Heart54,1782584480.3054729,2,Rob,2,David,8♠ J♣,18,False,4♠,3♥ J♦ 4♥ 8♠ J♣ K♠ A♠ 8♣ 7♥ 4♠,41,1,"h,s,d",s,s,True,digital,,1,False,win
Heart54,1782584484.0158732,2,David,2,David,8♣ 7♥,15,False,4♠,3♥ J♦ 4♥ 8♠ J♣ K♠ A♠ 8♣ 7♥ 4♠,41,1,"h,s,d",s,s,True,digital,,1,False,win
